State,Cap_Long,Cap_Lat,MTotal,FTotal,Teacher_Pay,%TakingSAT,SAT-V,SAT-M,SqMiles,ACT
string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
ALABAMA ,-86.279118,32.361538,2258087,2403813,37956,9,559,554,50750,20.3
ALASKA  ,-134.41974,58.301935,357607,328686,48123,51,514,510,570374,21.2
ARIZONA ,-112.073844,33.448457,3256691,3243489,36302,34,523,525,113642,19.7
ARKANSAS,-92.331122,34.736009,1398635,1456755,34641,6,562,550,52075,19.9
CALIFORNIA,-121.468926,38.555605,18388022,18368644,52480,51,498,517,155973,22.1
COLORADO,-104.984167,39.7391667,2491041,2448415,39184,31,539,542,103729,20.7
CONNECTICUT,-72.677,41.767,1707410,1793842,52693,82,509,510,4845,23.9
DELAWARE,-75.526755,39.161921,423336,449756,47047,67,501,499,1955,22.4
FLORIDA ,-84.27277,30.4518,9005282,9323058,38230,54,498,499,53997,19.6
GEORGIA ,-84.39,33.76,4764975,4920769,42216,63,491,489,57918,20.6
HAWAII  ,-157.826182,21.30895,649519,638679,40052,52,486,515,6423,21.3
IDAHO   ,-116.237651,43.613739,766580,757236,36375,17,543,542,82751,21.7
ILLINOIS,-89.650373,39.78325,6359906,6541657,47847,12,576,589,55593,20.9
INDIANA ,-86.147685,39.790942,3142510,3234282,43311,60,499,501,35870,22.3
IOWA    ,-93.620866,41.590939,1482872,1519683,36479,5,593,603,55875,22.3
KANSAS  ,-95.69,39.04,1391821,1410313,35901,9,577,580,81823,22
KENTUCKY,-84.86311,38.197274,2088142,2181103,36589,12,550,550,39732,19.6
LOUISIANA,-91.140229,30.45809,2140798,2269998,33615,7,564,550,43566,20.2
MAINE    ,-69.765261,44.323535,642369,674087,36373,69,506,500,30865,23.3
MARYLAND,-76.501157,38.972945,2727323,2906274,45963,65,508,510,9775,22.1
MASSACHUSETTS,-71.0275,42.2352,3153176,3344791,47789,79,511,515,7838,24.2
MICHIGAN,-84.5467,42.7335,4923929,5079493,50694,11,561,572,56809,20
MINNESOTA,-93.094,44.95,2599899,2620494,42212,9,580,589,79617,22.9
MISSISSIPPI,-90.207,32.32,1423841,1514777,31954,4,566,551,46914,18.7
MISSOURI,-92.189283,38.572954,2887907,3023698,36722,8,577,577,68898,21.6
MONTANA ,-112.027031,46.595805,484485,482955,33249,23,539,539,145556,22.1
NEBRASKA,-96.675345,40.809868,884280,899152,34175,8,562,568,77122,22.1
NEVADA  ,-119.753877,39.160949,1324590,1275577,40443,33,509,515,109806,21.4
NEW_HAMPSHIRE,-71.549127,43.220093,649087,666722,38301,72,520,516,8969,23.7
NEW_JERSEY,-74.756138,40.221741,4251782,4430879,53281,81,499,513,7418,23.2
NEW_MEXICO,-105.964575,35.667231,978326,1006030,33785,13,551,542,121365,19.8
NEW_YORK,-73.781339,42.659829,9462063,10028234,52040,77,495,505,47223,23.4
NORTH_CAROLINA,-78.638,35.771,4516987,4705427,41151,65,493,499,48718,21.9
NORTH_DAKOTA,-100.779004,48.813343,321933,319548,30891,4,592,599,68994,20.7
OHIO    ,-83.000647,39.962245,5603768,5882142,42764,26,534,539,40953,21.8
OKLAHOMA,-97.534994,35.482309,1798841,1843520,34499,8,567,561,68679,20.7
OREGON  ,-123.029159,44.931109,1882731,1907329,41711,55,526,526,96003,21.5
PENNSYLVANIA,-76.875613,40.269789,6060170,6388109,49528,71,500,499,44820,22.3
RHODE_ISLAND,-71.422132,41.82355,508705,542083,48474,71,501,499,1045,23
SOUTH_CAROLINA,-81.035,34,2181278,2298522,37938,57,486,488,30111,20.1
SOUTH_DAKOTA,-100.336378,44.367966,400861,403333,30265,4,577,582,75898,21.8
TENNESSEE,-86.784,36.165,3029115,3185773,37431,13,562,553,41200,19.5
TEXAS   ,-97.75,30.266667,12143558,12183416,38361,53,493,499,261914,20.8
UTAH    ,-111.892622,40.7547,1381261,1355163,36441,5,575,570,82168,21.8
VERMONT ,-72.57194,44.26639,305723,315547,38254,69,511,506,9249,22.7
VIRGINIA,-77.46,37.54,3817042,3952047,40197,68,510,501,39598,22.3
WASHINGTON,-122.893077,47.042418,3269925,3279299,42137,53,527,527,66582,22.8
WEST_VIRGINIA,-81.633294,38.349497,888696,925772,35888,18,527,512,24087,20.6
WISCONSIN,-89.384444,43.074722,2797649,2830318,42122,6,584,596,54314,22.2
WYOMING ,-104.802042,41.145548,270190,262478,34678,11,547,545,97105,20.3
